,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Sin_Portfolio_Excess_Returns,USREC
1971-10-31,0.01787794117647059,-0.0442,-0.0176,-0.0048,0.0037,0.0047,0.01417794117647059,0
1971-11-30,-0.0021377941176470615,-0.0046,-0.0277,-0.0168,0.0037,0.0151,-0.005837794117647062,0
1971-12-31,0.08714079999999999,0.0871,0.0329,-0.004,0.0037,-0.0058,0.0834408,0
1972-01-31,0.08062034285714285,0.0249,0.0585,0.0224,0.0029,0.0017,0.07772034285714285,0
1972-02-29,0.08712173529411764,0.0287,0.013,-0.0279,0.0025,0.0254,0.08462173529411764,0
1972-03-31,0.007702764705882348,0.0063,-0.0024,-0.0161,0.0027,0.0294,0.005002764705882348,0
1972-04-30,0.00010376470588235182,0.0029,0.0011,0.0012,0.0029,0.0281,-0.002796235294117648,0
1972-05-31,-0.004555500000000003,0.0125,-0.0269,-0.027,0.003,0.0329,-0.007555500000000003,0
1972-06-30,-0.024252588235294102,-0.0243,0.0027,-0.0248,0.0029,0.019,-0.027152588235294102,0
1972-07-31,-0.050334676470588216,-0.008,-0.0287,0.0066,0.0031,0.0275,-0.053434676470588215,0
1972-08-31,-0.0019211212121212204,0.0326,-0.0403,0.0454,0.0029,-0.054,-0.00482112121212122,0
1972-09-30,-0.022298696969696975,-0.0114,-0.0265,0.0046,0.0034,0.0182,-0.025698696969696976,0
1972-10-31,0.0018622058823529498,0.0052,-0.0273,0.0134,0.004,0.0071,-0.0021377941176470502,0
1972-11-30,-0.006295147058823532,0.046,-0.012,0.0485,0.0037,-0.0509,-0.009995147058823532,0
1972-12-31,-0.031171735294117636,0.0062,-0.0195,-0.0219,0.0037,0.0492,-0.034871735294117634,0
1973-01-31,-0.011944411764705882,-0.0329,-0.0349,0.0268,0.0044,0.0373,-0.01634441176470588,0
1973-02-28,-0.023575441176470594,-0.0485,-0.0387,0.016,0.0041,0.0216,-0.027675441176470594,0
1973-03-31,-0.004241342857142849,-0.013,-0.0282,0.0262,0.0046,0.0359,-0.008841342857142848,0
1973-04-30,-0.044576057142857145,-0.0568,-0.0385,0.0541,0.0052,0.0636,-0.04977605714285714,0
1973-05-31,-0.050103771428571406,-0.0294,-0.063,0.0041,0.0051,0.0714,-0.055203771428571406,0
1973-06-30,-0.026495305555555553,-0.0157,-0.0286,0.012,0.0051,0.043,-0.03159530555555555,0
1973-07-31,0.029433138888888877,0.0505,0.0797,-0.0531,0.0064,-0.1157,0.023033138888888877,0
1973-08-31,-0.021239499999999988,-0.0382,-0.0213,0.0124,0.007,0.0346,-0.028239499999999987,0
1973-09-30,0.0375746111111111,0.0475,0.0304,0.0201,0.0068,-0.07,0.0307746111111111,0
1973-10-31,-0.04363449999999999,-0.0083,-0.0045,0.0194,0.0065,0.0687,-0.05013449999999999,0
1973-11-30,-0.12252905555555554,-0.1275,-0.0767,0.0387,0.0056,0.0866,-0.12812905555555554,0
1973-12-31,-0.049734457142857125,0.0061,-0.0535,0.0385,0.0064,0.1038,-0.05613445714285713,1
1974-01-31,0.11217277142857143,-0.0017,0.0968,0.0602,0.0063,-0.0885,0.10587277142857143,1
1974-02-28,0.005404657142857145,-0.0047,-0.0018,0.0281,0.0058,0.0032,-0.00039534285714285487,1
1974-03-31,-0.0225984,-0.0281,0.026,-0.0032,0.0056,-0.0105,-0.028198400000000002,1
1974-04-30,-0.04161802857142856,-0.0529,-0.0074,0.0085,0.0075,0.0211,-0.04911802857142856,1
1974-05-31,-0.0343880857142857,-0.0468,-0.0296,-0.0202,0.0075,-0.0039,-0.0418880857142857,1
1974-06-30,-0.002591199999999995,-0.0283,-0.0017,0.0077,0.006,0.0231,-0.008591199999999995,1
1974-07-31,-0.07510622857142857,-0.0805,0.0084,0.0516,0.007,0.0311,-0.08210622857142857,1
1974-08-31,-0.09168677142857141,-0.0935,-0.0073,0.0264,0.006,0.03,-0.09768677142857142,1
1974-09-30,-0.08503148571428572,-0.1177,0.0027,0.0558,0.0081,0.0424,-0.09313148571428571,1
1974-10-31,0.08173974285714286,0.161,-0.0346,-0.0987,0.0051,-0.0054,0.07663974285714287,1
1974-11-30,-0.05277817142857141,-0.0451,-0.0121,-0.002,0.0054,0.0213,-0.058178171428571415,1
1974-12-31,-0.07729282857142855,-0.0345,-0.0483,0.0011,0.007,0.0292,-0.08429282857142856,1
1975-01-31,0.3174266857142857,0.1366,0.1114,0.0828,0.0058,-0.1382,0.31162668571428565,1
1975-02-28,0.08478851428571427,0.0556,0.0016,-0.0444,0.0043,-0.0061,0.08048851428571427,1
1975-03-31,0.06099785714285713,0.0266,0.0378,0.0238,0.0041,-0.0204,0.05689785714285713,1
1975-04-30,0.027143514285714272,0.0423,-0.0065,-0.0114,0.0044,0.0138,0.02274351428571427,0
1975-05-31,0.05741261764705882,0.0519,0.0383,-0.041,0.0044,-0.0058,0.05301261764705882,0
1975-06-30,0.005597575757575764,0.0483,0.0087,0.0138,0.0041,0.0004,0.0014975757575757635,0
1975-07-31,-0.008864941176470584,-0.0659,0.027,0.0169,0.0048,0.0042,-0.013664941176470585,0
1975-08-31,-0.05482527272727272,-0.0285,-0.0325,-0.0095,0.0048,-0.001,-0.05962527272727272,0
1975-09-30,-0.04418030303030303,-0.0426,-0.001,0.0039,0.0053,0.0041,-0.04948030303030303,0
1975-10-31,0.023294787878787884,0.0531,-0.0403,0.0028,0.0056,-0.0016,0.017694787878787883,0
1975-11-30,-0.0024892352941176346,0.0264,-0.012,0.0203,0.0041,-0.0045,-0.006589235294117635,0
1975-12-31,-0.002514666666666669,-0.016,-0.0078,0.0169,0.0048,-0.0011,-0.007314666666666669,0
1976-01-31,0.1534501212121212,0.1216,0.0481,0.0863,0.0047,0.0445,0.1487501212121212,0
1976-02-29,0.09188948484848486,0.0032,0.0706,0.0587,0.0034,0.0038,0.08848948484848486,0
1976-03-31,-0.02593490909090908,0.0232,-0.0116,-0.0012,0.004,0.0015,-0.02993490909090908,0
1976-04-30,0.020294939393939396,-0.0149,-0.0011,-0.0016,0.0042,0.0059,0.016094939393939398,0
1976-05-31,-0.03228706060606059,-0.0134,-0.0123,-0.0136,0.0037,-0.0112,-0.03598706060606059,0
