datadate,3PLFF,BGMTQ,BKCT,BRCC,CHF.,CTEA,FARM,FHAI,GMCR,HCEI,HRSR,ICGL.1,JAMN,KDP,MOKA,NUZE,PEET,PLAG,RVACU,SBEAU,SWP.,SWSSF,UOLI,WEST,WFGCF
1990-07-31,,,,,-0.102941,,-0.019186,,,,,,,,,,,,,,,,,,
1990-08-31,,,,,-0.18032800000000002,,-0.053571,,,,,,,,,,,,,,,,,,
1990-09-30,,,,,-0.26,,0.0,,,,,,,,,,,,,,,,,,
1990-10-31,,,,,-0.027027000000000002,,0.010692,,,,,,,,,,,,,,,,,,
1990-11-30,,,,,0.222223,,-0.0125,,,,,,,,,,,,,,,,,,
1990-12-31,,,,,0.068182,,0.08860799999999999,,,,,,,,,,,,,,,,,,
1991-01-31,,,,,0.0,,-0.030813999999999998,,,,,,,,,,,,,,,,,,
1991-02-28,,,,,0.340426,,0.066265,,,,,,,,,,,,,,,,,,
1991-03-31,,,,,-0.031745999999999996,,0.045198,,,,,,,,,,,,,,,,,,
1991-04-30,,,,,0.04918,,0.063243,,,,,,,,,,,,,,,,,,
1991-05-31,,,,,-0.015625,,-0.020408,,,,,,,,,,,,,,,,,,
1991-06-30,,,,,-0.015872999999999998,,-0.010417000000000001,,,,,,,,,,,,,,,,,,
1991-07-31,,,,,0.013387,,-0.006842,,,,,,,,,,,,,,,,,,
1991-08-31,,,,,0.0,,0.06383,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,0.147541,,-0.0325,,,,,,,,,,,,,,,,,,
1991-10-31,,,,,-0.08571400000000001,,0.058398000000000005,,,,,,,,,,,,,,,,,,
1991-11-30,,,,,0.046875,,-0.039216,,,,,,,,,,,,,,,,,,
1991-12-31,,,,,0.0,,0.071429,,,,,,,,,,,,,,,,,,
1992-01-31,,,,,0.029851000000000003,,0.18476199999999998,,,,,,,,,,,,,,,,,,
1992-02-29,,,,,-0.115942,,-0.008065,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,-0.098361,,-0.024390000000000002,,,,,,,,,,,,,,,,,,
1992-04-30,,,,,0.036364,,0.024167,,,,,,,,,,,,,,,,,,
1992-05-31,,,,,-0.017544,,-0.028571,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,-0.017857,,-0.02521,,,,,,,,,,,,,,,,,,
