,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1985-11-30,0.07849249999999995,0.0648,0.0025,-0.0285,0.0061,-0.0047,0.07239249999999996,0
1985-12-31,0.0670715,0.0388,-0.0051,-0.0154,0.0065,-0.0023,0.06057150000000001,0
1986-01-31,0.0078945,0.0065,0.0121,0.0044,0.0056,0.03,0.0022945000000000005,0
1986-02-28,0.1299265,0.0713,-0.0054,-0.0072,0.0053,0.0276,0.1246265,0
1986-03-31,0.035638500000000004,0.0488,-0.0059,-0.0039,0.006,0.0241,0.029638500000000005,0
1986-04-30,-0.0664555,-0.0131,0.0278,-0.0287,0.0052,-0.0037,-0.0716555,0
1986-05-31,0.040685499999999944,0.0462,-0.0135,-0.0021,0.0049,0.0205,0.03578549999999994,0
1986-06-30,0.077347,0.0103,-0.0096,0.0128,0.0052,0.0507,0.072147,0
1986-07-31,-0.0189655,-0.0645,-0.0336,0.047,0.0052,0.0183,-0.0241655,0
1986-08-31,-0.0872125,0.0607,-0.0417,0.0351,0.0046,-0.0528,-0.09181249999999999,0
1986-09-30,-0.12155399999999994,-0.086,0.0236,0.0322,0.0045,-0.0579,-0.12605399999999994,0
1986-10-31,0.063889,0.0466,-0.025,-0.0142,0.0046,0.0446,0.059289,0
1986-11-30,0.03436249999999995,0.0117,-0.0191,-0.0007,0.0039,-0.0026,0.030462499999999948,0
1986-12-31,0.013889,-0.0327,0.0013,0.0036,0.0049,0.0035,0.008989,0
1987-01-31,0.003643499999999999,0.1247,-0.0181,-0.0316,0.0042,0.022,-0.0005565000000000006,0
1987-02-28,0.14424599999999999,0.0439,0.0349,-0.0591,0.0043,-0.0207,0.139946,0
1987-03-31,-0.0115665,0.0164,0.0045,0.0161,0.0047,0.0168,-0.0162665,0
1987-04-30,-0.041702,-0.0211,-0.0169,-0.0039,0.0044,0.0022,-0.046102000000000004,0
1987-05-31,0.021928999999999997,0.0011,-0.005,0.0023,0.0038,-0.0074,0.018128999999999996,0
1987-06-30,0.018352999999999953,0.0394,-0.0212,0.0104,0.0048,-0.0025,0.013552999999999954,0
1987-07-31,0.0522895,0.0385,-0.0069,0.0068,0.0046,0.0272,0.0476895,0
1987-08-31,-0.03139900000000005,0.0352,-0.0077,-0.0093,0.0047,-0.0086,-0.036099000000000055,0
1987-09-30,0.0607905,-0.0259,0.0054,0.0027,0.0045,0.0077,0.0562905,0
1987-10-31,-0.329219,-0.2324,-0.0843,0.0424,0.006,-0.0786,-0.335219,0
1987-11-30,0.0714285,-0.0777,0.0272,0.0295,0.0035,-0.0117,0.0679285,0
1987-12-31,-0.019345,0.0681,0.0013,-0.0443,0.0039,0.0587,-0.023245000000000002,0
1988-01-31,0.031190000000000002,0.0421,-0.0072,0.0501,0.0029,-0.0724,0.028290000000000003,0
1988-02-29,0.09153399999999995,0.0475,0.0334,-0.0171,0.0046,-0.0147,0.08693399999999996,0
1988-03-31,0.061404,-0.0227,0.0615,0.0073,0.0044,0.0058,0.057004,0
1988-04-30,0.11267049999999999,0.0056,0.01,0.0167,0.0046,0.0224,0.10807049999999999,0
1988-05-31,0.029131999999999953,-0.0029,-0.026,0.0242,0.0051,0.0063,0.024031999999999953,0
1988-06-30,0.061123,0.0479,0.0211,-0.0124,0.0049,-0.0293,0.056222999999999995,0
1988-07-31,-0.04188,-0.0125,-0.0025,0.0222,0.0051,0.0066,-0.04698,0
1988-08-31,-0.0026680000000000037,-0.0331,0.0004,0.0215,0.0059,0.0035,-0.008568000000000003,0
