,gvkey,iid,datadate,tic,trt1m,naics,sic
80495,1408,01,31/03/1977,BEAM.2,-2.2409,312140.0,2085.0
80496,1408,01,30/04/1977,BEAM.2,4.8711,312140.0,2085.0
80497,1408,01,31/05/1977,BEAM.2,1.5956,312140.0,2085.0
80498,1408,01,30/06/1977,BEAM.2,2.7322,312140.0,2085.0
80499,1408,01,31/07/1977,BEAM.2,-0.7979,312140.0,2085.0
80500,1408,01,31/08/1977,BEAM.2,-0.2466,312140.0,2085.0
80501,1408,01,30/09/1977,BEAM.2,-4.918,312140.0,2085.0
80502,1408,01,31/10/1977,BEAM.2,2.0115,312140.0,2085.0
80503,1408,01,30/11/1977,BEAM.2,-0.2592,312140.0,2085.0
80504,1408,01,31/12/1977,BEAM.2,-1.1494,312140.0,2085.0
80505,1408,01,31/01/1978,BEAM.2,0.8721,312140.0,2085.0
80506,1408,01,28/02/1978,BEAM.2,3.4582,312140.0,2085.0
80507,1408,01,31/03/1978,BEAM.2,3.6932,312140.0,2085.0
80508,1408,01,30/04/1978,BEAM.2,9.3151,312140.0,2085.0
80509,1408,01,31/05/1978,BEAM.2,2.5063,312140.0,2085.0
80510,1408,01,30/06/1978,BEAM.2,0.2488,312140.0,2085.0
80511,1408,01,31/07/1978,BEAM.2,0.0,312140.0,2085.0
80512,1408,01,31/08/1978,BEAM.2,2.4814,312140.0,2085.0
80513,1408,01,30/09/1978,BEAM.2,-0.4926,312140.0,2085.0
80514,1408,01,31/10/1978,BEAM.2,-5.4455,312140.0,2085.0
80515,1408,01,30/11/1978,BEAM.2,6.2827,312140.0,2085.0
80516,1408,01,31/12/1978,BEAM.2,1.2563,312140.0,2085.0
80517,1408,01,31/01/1979,BEAM.2,-0.2481,312140.0,2085.0
80518,1408,01,28/02/1979,BEAM.2,0.4975,312140.0,2085.0
80519,1408,01,31/03/1979,BEAM.2,10.8586,312140.0,2085.0
80520,1408,01,30/04/1979,BEAM.2,5.6948,312140.0,2085.0
80521,1408,01,31/05/1979,BEAM.2,1.7241,312140.0,2085.0
80522,1408,01,30/06/1979,BEAM.2,2.3758,312140.0,2085.0
80523,1408,01,31/07/1979,BEAM.2,7.5949,312140.0,2085.0
80524,1408,01,31/08/1979,BEAM.2,6.0784,312140.0,2085.0
80525,1408,01,30/09/1979,BEAM.2,-5.6497,312140.0,2085.0
80526,1408,01,31/10/1979,BEAM.2,-0.998,312140.0,2085.0
80527,1408,01,30/11/1979,BEAM.2,6.4516,312140.0,2085.0
80528,1408,01,31/12/1979,BEAM.2,4.8263,312140.0,2085.0
80529,1408,01,31/01/1980,BEAM.2,-1.2891,312140.0,2085.0
80530,1408,01,29/02/1980,BEAM.2,-6.903,312140.0,2085.0
80531,1408,01,31/03/1980,BEAM.2,-2.0492,312140.0,2085.0
80532,1408,01,30/04/1980,BEAM.2,9.8326,312140.0,2085.0
80533,1408,01,31/05/1980,BEAM.2,14.5905,312140.0,2085.0
80534,1408,01,30/06/1980,BEAM.2,6.7797,312140.0,2085.0
80535,1408,01,31/07/1980,BEAM.2,4.2857,312140.0,2085.0
80536,1408,01,31/08/1980,BEAM.2,0.1826,312140.0,2085.0
80537,1408,01,30/09/1980,BEAM.2,0.1548,312140.0,2085.0
80538,1408,01,31/10/1980,BEAM.2,-1.7929,312140.0,2085.0
80539,1408,01,30/11/1980,BEAM.2,-1.7657,312140.0,2085.0
80540,1408,01,31/12/1980,BEAM.2,1.3072,312140.0,2085.0
80541,1408,01,31/01/1981,BEAM.2,-1.7097,312140.0,2085.0
80542,1408,01,28/02/1981,BEAM.2,-5.1926,312140.0,2085.0
80543,1408,01,31/03/1981,BEAM.2,6.8905,312140.0,2085.0
80544,1408,01,30/04/1981,BEAM.2,8.0992,312140.0,2085.0
80545,1408,01,31/05/1981,BEAM.2,-2.2936,312140.0,2085.0
80546,1408,01,30/06/1981,BEAM.2,7.9872,312140.0,2085.0
80547,1408,01,31/07/1981,BEAM.2,-3.5503,312140.0,2085.0
80548,1408,01,31/08/1981,BEAM.2,-6.5951,312140.0,2085.0
80549,1408,01,30/09/1981,BEAM.2,3.0201,312140.0,2085.0
80550,1408,01,31/10/1981,BEAM.2,0.4886,312140.0,2085.0
80551,1408,01,30/11/1981,BEAM.2,2.649,312140.0,2085.0
80552,1408,01,31/12/1981,BEAM.2,-5.1613,312140.0,2085.0
80553,1408,01,31/01/1982,BEAM.2,3.0612,312140.0,2085.0
80554,1408,01,28/02/1982,BEAM.2,2.3649,312140.0,2085.0
